date,Growth_Rate,Inflation_Rate,Liquidity_Rate
1367,-5.3,28.9,23.834483
1368,5.9,17.4,19.542186
1369,14,9,22.482443
1370,12.29336696,20,24.636148
1371,3.064414146,25,25.281627
1372,1.355645804,20,34.207885
1373,-0.921387907,38.8888889,28.480108
1374,2.684702996,48,37.559565
1375,5.391026811,21.6216216,37.004333
1376,0.826806226,17.7777778,15.21519
1377,2.196695888,18.8679245,19.447405
1378,1.697651529,19.047619,20.129301
1379,5.673267986,13.3333333,29.280987
1380,2.051980419,10.5882353,28.841337
1381,8.12410637,15.9574468,30.087086
1382,8.416647628,15.5963303,26.123624
1383,4.637325879,15.0793651,30.245326
1384,6.317140261,11.0344828,34.285384
1385,6.068861262,11.8012422,39.432394
1386,7.74379375,18.3333333,27.72884
1387,0.641733126,25.3521127,15.916242
1388,1.266938068,10.4868914,23.905082
1389,6.480858492,12.5423729,25.170332
1390,4.302851175,21.3855422,20.132351
1391,-6.783344311,30.5210918,30.045685
1392,-1.923935425,34.7908745,38.823395
1393,2.977565992,15.5148096,22.333547
